Category,Year,Completions
Computer Science,2011,32588
Engineering,2011,77782
Computer Science,2012,36008
Engineering,2012,83039
Computer Science,2013,39504
Engineering,2013,87642
Computer Science,2014,44627
Engineering,2014,94028
Computer Science,2015,51043
Engineering,2015,99837
Computer Science,2016,58334
Engineering,2016,108848
Computer Science,2017,66086
Engineering,2017,117687
Computer Science,2018,76097
Engineering,2018,123879
Computer Science,2019,85690
Engineering,2019,128542
Computer Science,2020,95410
Engineering,2020,130282
Computer Science,2021,103425
Engineering,2021,128130
Computer Science,2022,107379
Engineering,2022,125212
Computer Science,2023,112642
Engineering,2023,120981
Computer Science,2024,119957
Engineering,2024,118009
