Category,Semester,Headcount
"Computer Science (broad, B.A.+B.S. summed)",Fall 2019,655
"Computer Science (broad, B.A.+B.S. summed)",Fall 2019,655
"Engineering (broad, college total)",Fall 2019,7598
"Engineering (broad, college total)",Fall 2019,7598
"Computer Science (broad, B.A.+B.S. summed)",Fall 2020,665
"Computer Science (broad, B.A.+B.S. summed)",Fall 2020,665
"Engineering (broad, college total)",Fall 2020,7029
"Engineering (broad, college total)",Fall 2020,7029
"Computer Science (broad, B.A.+B.S. summed)",Fall 2021,722
"Computer Science (broad, B.A.+B.S. summed)",Fall 2021,722
"Engineering (broad, college total)",Fall 2021,6543
"Engineering (broad, college total)",Fall 2021,6543
"Computer Science (broad, B.A.+B.S. summed)",Fall 2022,866
"Computer Science (broad, B.A.+B.S. summed)",Fall 2022,866
"Engineering (broad, college total)",Fall 2022,6593
"Engineering (broad, college total)",Fall 2022,6593
"Computer Science (broad, B.A.+B.S. summed)",Fall 2023,938
"Computer Science (broad, B.A.+B.S. summed)",Fall 2023,938
"Engineering (broad, college total)",Fall 2023,6725
"Engineering (broad, college total)",Fall 2023,6725
"Computer Science (broad, B.A.+B.S. summed)",Fall 2024,876
"Computer Science (broad, B.A.+B.S. summed)",Fall 2024,877
"Engineering (broad, college total)",Fall 2024,6978
"Engineering (broad, college total)",Fall 2024,6978
"Computer Science (broad, B.A.+B.S. summed)",Fall 2025,746
"Computer Science (broad, B.A.+B.S. summed)",Fall 2025,746
"Engineering (broad, college total)",Fall 2025,7418
"Engineering (broad, college total)",Fall 2025,7418
