Year,Category,ISU,National,ISU_indexed_2019,National_indexed_2019
2019,Computer Science,655,474573,100.0,100.0
2020,Computer Science,665,492669,101.52671755725191,103.81311199752199
2021,Computer Science,722,513475,110.22900763358778,108.19726364542441
2022,Computer Science,866,570291,132.21374045801525,120.16928902402793
2023,Computer Science,938,621711,143.206106870229,131.00429227958608
2024,Computer Science,876,655380,133.74045801526717,138.09888046728324
2025,Computer Science,746,602109,113.89312977099237,126.87384238041355
2019,Engineering,7598,595142,100.0,100.0
2020,Engineering,7029,600396,92.51118715451435,100.88281452157636
2021,Engineering,6543,582733,86.11476704395893,97.91495138975236
2022,Engineering,6593,573841,86.77283495656751,96.42085418269926
2023,Engineering,6725,589277,88.51013424585418,99.0145209042548
2024,Engineering,6978,619056,91.83995788365358,104.01820069832073
2025,Engineering,7418,664997,97.63095551460911,111.73753490763549
